iter	Passed	Remaining
0	180	180297
1	212	105904
2	236	78528
3	263	65586
4	287	57301
5	312	51717
6	334	47412
7	346	43006
8	371	40930
9	395	39129
10	429	38613
11	461	37964
12	481	36528
13	504	35542
14	529	34754
15	553	34011
16	575	33280
17	598	32663
18	622	32163
19	649	31840
20	676	31543
21	699	31082
22	721	30652
23	744	30262
24	766	29883
25	788	29550
26	811	29246
27	834	28960
28	848	28419
29	866	28029
30	883	27610
31	906	27415
32	933	27349
33	957	27198
34	980	27044
35	1007	26973
36	1033	26909
37	1056	26756
38	1089	26857
39	1107	26591
40	1131	26465
41	1157	26399
42	1182	26316
43	1207	26236
44	1233	26179
45	1255	26048
46	1281	25978
47	1308	25950
48	1322	25664
49	1349	25635
50	1376	25604
51	1401	25554
52	1427	25504
53	1447	25352
54	1470	25262
55	1494	25185
56	1517	25110
57	1543	25074
58	1570	25045
59	1600	25070
60	1629	25084
61	1657	25069
62	1684	25059
63	1698	24839
64	1708	24580
65	1733	24538
66	1759	24500
67	1784	24453
68	1791	24177
69	1813	24098
70	1835	24020
71	1858	23951
72	1882	23906
73	1906	23853
74	1929	23793
75	1953	23744
76	1977	23702
77	2003	23682
78	2028	23651
79	2054	23628
80	2081	23610
81	2106	23586
82	2132	23561
83	2156	23520
84	2178	23449
85	2205	23439
86	2232	23428
87	2255	23378
88	2278	23320
89	2300	23256
90	2323	23207
91	2348	23173
92	2374	23154
93	2401	23148
94	2430	23151
95	2456	23132
96	2481	23100
97	2508	23085
98	2533	23059
99	2557	23016
100	2576	22936
101	2600	22891
102	2622	22838
103	2646	22796
104	2669	22755
105	2691	22696
106	2706	22585
107	2727	22530
108	2749	22477
109	2771	22423
110	2787	22326
111	2812	22300
112	2837	22276
113	2851	22164
114	2879	22160
115	2905	22138
116	2930	22119
117	2956	22101
118	2982	22082
119	3007	22052
120	3030	22016
121	3053	21978
122	3078	21951
123	3105	21940
124	3128	21900
125	3151	21859
126	3175	21826
127	3197	21786
128	3223	21762
129	3246	21725
130	3276	21736
131	3312	21780
132	3326	21681
133	3350	21654
134	3375	21626
135	3402	21613
136	3426	21582
137	3467	21660
138	3521	21815
139	3573	21950
140	3585	21845
141	3608	21802
142	3632	21767
143	3641	21647
144	3666	21620
145	3701	21651
146	3720	21589
147	3747	21571
148	3774	21555
149	3817	21633
150	3830	21538
151	3853	21499
152	3878	21470
153	3902	21437
154	3927	21410
155	3953	21386
156	3977	21356
157	4015	21398
158	4036	21348
159	4051	21271
160	4079	21258
161	4092	21171
162	4101	21061
163	4124	21023
164	4146	20986
165	4169	20949
166	4192	20914
167	4215	20877
168	4239	20847
169	4275	20875
170	4298	20840
171	4321	20801
172	4326	20680
173	4353	20665
174	4371	20608
175	4398	20592
176	4414	20527
177	4441	20509
178	4479	20545
179	4520	20592
180	4559	20631
181	4584	20605
182	4607	20571
183	4631	20539
184	4643	20457
185	4666	20423
186	4690	20394
187	4712	20352
188	4737	20327
189	4763	20306
190	4787	20279
191	4816	20269
192	4845	20260
193	4870	20233
194	4896	20213
195	4920	20184
196	4944	20153
197	4968	20125
198	4991	20090
199	5018	20074
200	5047	20065
201	5077	20056
202	5110	20065
203	5161	20141
204	5189	20124
205	5212	20092
206	5236	20059
207	5260	20029
208	5284	20000
209	5309	19972
210	5334	19947
211	5339	19848
212	5359	19801
213	5386	19783
214	5412	19762
215	5439	19742
216	5457	19691
217	5469	19621
218	5496	19600
219	5523	19582
220	5552	19570
221	5578	19551
222	5603	19525
223	5628	19497
224	5652	19469
225	5676	19441
226	5701	19414
227	5718	19361
228	5737	19315
229	5757	19274
230	5770	19209
231	5776	19120
232	5806	19114
233	5835	19103
234	5862	19084
235	5890	19067
236	5925	19075
237	5950	19051
238	5967	18999
239	5992	18976
240	6018	18955
241	6047	18942
242	6087	18964
243	6100	18900
244	6111	18834
245	6124	18770
246	6150	18749
247	6176	18729
248	6213	18739
249	6232	18698
250	6248	18647
251	6306	18720
252	6357	18771
253	6377	18730
254	6398	18694
255	6427	18680
256	6476	18724
257	6510	18723
258	6518	18650
259	6528	18580
260	6551	18551
261	6576	18524
262	6599	18493
263	6625	18470
264	6653	18453
265	6697	18480
266	6710	18423
267	6719	18353
268	6724	18274
269	6748	18245
270	6769	18211
271	6778	18142
272	6802	18115
273	6826	18087
274	6848	18054
275	6898	18096
276	6934	18099
277	6953	18059
278	6961	17991
279	6985	17962
280	7008	17931
281	7025	17887
282	7049	17860
283	7074	17835
284	7098	17809
285	7125	17788
286	7152	17768
287	7186	17767
288	7253	17844
289	7319	17919
290	7338	17879
291	7348	17817
292	7379	17807
293	7405	17783
294	7414	17720
295	7439	17694
296	7456	17648
297	7480	17622
298	7504	17593
299	7549	17614
300	7574	17589
301	7582	17525
302	7591	17462
303	7617	17438
304	7628	17383
305	7651	17352
306	7675	17326
307	7700	17301
308	7725	17276
309	7750	17251
310	7764	17201
311	7788	17174
312	7812	17147
313	7836	17121
314	7849	17070
315	7873	17043
316	7898	17017
317	7921	16989
318	7945	16961
319	7968	16932
320	7987	16895
321	8010	16867
322	8020	16809
323	8042	16780
324	8068	16757
325	8092	16730
326	8116	16703
327	8140	16677
328	8153	16628
329	8175	16598
330	8198	16569
331	8221	16541
332	8245	16514
333	8268	16488
334	8293	16463
335	8317	16437
336	8353	16433
337	8376	16405
338	8398	16375
339	8411	16327
340	8439	16309
341	8462	16281
342	8486	16255
343	8512	16232
344	8534	16203
345	8558	16176
346	8582	16150
347	8606	16123
348	8622	16084
349	8631	16030
350	8654	16003
351	8677	15974
352	8700	15947
353	8725	15923
354	8739	15879
355	8763	15853
356	8792	15837
357	8805	15791
358	8829	15764
359	8852	15737
360	8877	15714
361	8887	15662
362	8902	15621
363	8923	15591
364	8949	15569
365	8972	15543
366	8978	15485
367	9001	15458
368	9013	15413
369	9035	15385
370	9047	15338
371	9069	15310
372	9093	15286
373	9112	15252
374	9124	15207
375	9129	15150
376	9152	15125
377	9179	15104
378	9203	15080
379	9229	15058
380	9252	15032
381	9275	15005
382	9298	14979
383	9323	14955
384	9346	14930
385	9369	14903
386	9396	14883
387	9419	14857
388	9443	14832
389	9465	14805
390	9488	14778
391	9514	14757
392	9559	14764
393	9589	14749
394	9613	14723
395	9636	14698
396	9659	14672
397	9682	14646
398	9706	14621
399	9729	14594
400	9753	14569
401	9776	14543
402	9798	14516
403	9823	14492
404	9832	14445
405	9857	14421
406	9880	14395
407	9904	14370
408	9926	14343
409	9938	14302
410	9961	14275
411	9984	14249
412	10009	14226
413	10035	14205
414	10060	14182
415	10073	14142
416	10097	14117
417	10121	14092
418	10145	14067
419	10170	14045
420	10194	14020
421	10218	13995
422	10227	13950
423	10253	13929
424	10279	13907
425	10303	13882
426	10328	13859
427	10351	13833
428	10373	13807
429	10398	13783
430	10421	13758
431	10444	13733
432	10471	13711
433	10480	13668
434	10493	13628
435	10515	13602
436	10538	13576
437	10562	13552
438	10586	13527
439	10609	13502
440	10632	13477
441	10654	13451
442	10677	13425
443	10702	13402
444	10725	13376
445	10748	13350
446	10772	13327
447	10795	13301
448	10819	13277
449	10843	13252
450	10866	13227
451	10890	13203
452	10912	13177
453	10938	13155
454	10961	13130
455	10970	13087
456	10993	13062
457	11017	13037
458	11040	13012
459	11064	12988
460	11087	12963
461	11110	12938
462	11133	12912
463	11157	12889
464	11180	12863
465	11204	12839
466	11227	12813
467	11251	12790
468	11275	12766
469	11299	12741
470	11322	12717
471	11346	12692
472	11371	12669
473	11380	12628
474	11404	12605
475	11427	12580
476	11450	12554
477	11474	12530
478	11497	12505
479	11519	12479
480	11542	12454
481	11567	12431
482	11592	12408
483	11617	12385
484	11639	12359
485	11662	12334
486	11686	12310
487	11710	12286
488	11734	12261
489	11755	12235
490	11780	12212
491	11804	12188
492	11829	12165
493	11852	12140
494	11876	12116
495	11900	12092
496	11924	12068
497	11947	12043
498	11971	12019
499	11993	11993
500	12016	11968
501	12040	11945
502	12063	11919
503	12086	11895
504	12109	11869
505	12131	11844
506	12155	11819
507	12178	11795
508	12187	11756
509	12210	11731
510	12234	11708
511	12258	11684
512	12281	11659
513	12306	11635
514	12330	11612
515	12353	11587
516	12376	11562
517	12399	11538
518	12422	11512
519	12445	11488
520	12469	11464
521	12492	11439
522	12517	11416
523	12540	11391
524	12564	11367
525	12586	11342
526	12611	11319
527	12634	11294
528	12659	11271
529	12683	11247
530	12708	11224
531	12730	11199
532	12753	11174
533	12777	11150
534	12799	11124
535	12823	11101
536	12847	11076
537	12872	11054
538	12897	11030
539	12920	11006
540	12943	10981
541	12966	10956
542	12991	10933
543	13013	10908
544	13035	10882
545	13057	10857
546	13080	10832
547	13105	10809
548	13131	10787
549	13155	10763
550	13178	10738
551	13201	10714
552	13223	10689
553	13246	10663
554	13269	10639
555	13293	10615
556	13319	10593
557	13345	10570
558	13369	10547
559	13394	10524
560	13417	10499
561	13440	10475
562	13464	10451
563	13488	10427
564	13513	10404
565	13537	10380
566	13561	10356
567	13584	10331
568	13607	10307
569	13631	10283
570	13654	10258
571	13677	10234
572	13702	10211
573	13726	10187
574	13752	10164
575	13774	10139
576	13798	10115
577	13821	10090
578	13844	10066
579	13869	10043
580	13891	10018
581	13913	9992
582	13937	9969
583	13961	9945
584	13984	9920
585	14007	9896
586	14031	9872
587	14056	9849
588	14080	9825
589	14103	9800
590	14126	9776
591	14150	9752
592	14175	9729
593	14198	9704
594	14221	9679
595	14243	9655
596	14270	9633
597	14294	9609
598	14317	9585
599	14339	9559
600	14362	9535
601	14386	9511
602	14412	9488
603	14436	9465
604	14461	9441
605	14486	9418
606	14510	9394
607	14533	9370
608	14557	9346
609	14581	9322
610	14606	9299
611	14631	9275
612	14654	9251
613	14677	9227
614	14701	9203
615	14724	9178
616	14747	9154
617	14771	9130
618	14794	9105
619	14819	9082
620	14843	9058
621	14867	9035
622	14891	9011
623	14915	8987
624	14938	8963
625	14962	8939
626	14986	8915
627	15008	8890
628	15032	8866
629	15065	8847
630	15090	8824
631	15113	8800
632	15135	8775
633	15158	8750
634	15181	8726
635	15206	8703
636	15230	8679
637	15253	8654
638	15277	8631
639	15301	8607
640	15326	8583
641	15349	8559
642	15373	8535
643	15397	8511
644	15421	8487
645	15446	8464
646	15469	8439
647	15492	8415
648	15516	8392
649	15540	8367
650	15563	8343
651	15587	8319
652	15610	8295
653	15634	8271
654	15657	8247
655	15681	8223
656	15705	8199
657	15728	8175
658	15752	8151
659	15775	8126
660	15800	8103
661	15823	8079
662	15846	8054
663	15871	8031
664	15883	8001
665	15907	7977
666	15931	7953
667	15953	7929
668	15977	7905
669	16000	7880
670	16023	7856
671	16048	7833
672	16072	7809
673	16096	7785
674	16122	7762
675	16144	7737
676	16167	7713
677	16191	7689
678	16216	7666
679	16241	7643
680	16266	7619
681	16289	7595
682	16313	7571
683	16336	7547
684	16360	7523
685	16383	7499
686	16416	7479
687	16441	7456
688	16466	7432
689	16490	7408
690	16514	7384
691	16536	7360
692	16560	7336
693	16584	7312
694	16609	7288
695	16635	7266
696	16661	7243
697	16692	7222
698	16718	7199
699	16742	7175
700	16766	7151
701	16789	7127
702	16814	7103
703	16876	7095
704	16936	7086
705	16978	7070
706	17002	7046
707	17030	7023
708	17055	7000
709	17078	6975
710	17104	6952
711	17131	6929
712	17156	6905
713	17180	6881
714	17203	6857
715	17230	6834
716	17253	6810
717	17279	6786
718	17304	6763
719	17332	6740
720	17382	6726
721	17406	6702
722	17433	6679
723	17458	6655
724	17483	6631
725	17508	6607
726	17533	6584
727	17561	6561
728	17586	6537
729	17610	6513
730	17634	6489
731	17657	6464
732	17680	6440
733	17704	6416
734	17727	6391
735	17751	6367
736	17774	6342
737	17799	6319
738	17827	6296
739	17852	6272
740	17878	6249
741	17904	6225
742	17928	6201
743	17954	6177
744	17980	6154
745	18006	6130
746	18031	6107
747	18059	6084
748	18084	6060
749	18116	6038
750	18143	6015
751	18171	5992
752	18197	5969
753	18222	5945
754	18246	5920
755	18268	5896
756	18295	5873
757	18320	5849
758	18344	5824
759	18369	5800
760	18393	5776
761	18417	5752
762	18444	5729
763	18469	5705
764	18493	5680
765	18517	5656
766	18541	5632
767	18566	5608
768	18589	5584
769	18614	5560
770	18638	5536
771	18663	5511
772	18687	5487
773	18711	5463
774	18734	5439
775	18756	5414
776	18781	5390
777	18807	5366
778	18834	5343
779	18860	5319
